cow55;sire1;dam1;2014;1
cow142;sire2;dam2;2006;1
cow171;sire3;dam3;2006;2
cow106;sire4;dam4;2007;3
cow85;sire5;dam5;2004;3
cow177;sire6;dam6;2005;4
cow161;sire7;dam7;2006;3
cow176;sire8;dam8;2013;4
cow4;sire9;dam9;2005;4
cow130;sire10;dam10;2013;1
cow15;sire11;dam11;2005;4
cow118;sire12;dam12;2005;5
cow152;sire13;dam13;2013;1
cow123;sire14;dam14;2006;3
cow89;sire15;dam15;2004;5
cow39;sire16;dam16;2004;5
cow40;sire17;dam17;2006;2
cow102;sire18;dam18;2005;5
cow148;sire19;dam19;2013;1
cow3;sire20;dam20;2013;1
cow86;sire21;dam21;2005;4
cow162;sire22;dam22;2009;3
cow72;sire23;dam23;2007;2
cow71;sire24;dam24;2006;2
cow103;sire25;dam25;2005;2
cow150;sire26;dam26;2009;2
cow117;sire27;dam27;2006;2
cow68;sire28;dam28;2004;2
cow139;sire29;dam29;2010;3
cow109;sire30;dam30;2006;3
cow54;sire31;dam31;2006;4
cow122;sire32;dam32;2006;3
cow83;sire33;dam33;2005;4
cow143;sire34;dam34;2006;4
cow131;sire35;dam35;2005;4
cow21;sire2;dam36;2006;1
cow163;sire36;dam37;2003;5
cow133;sire37;dam38;2011;1
cow81;sire21;dam39;2005;1
cow60;sire38;dam40;2006;1
cow120;sire39;dam41;2005;6
cow144;sire40;dam42;2005;6
cow36;sire41;dam43;2005;6
cow44;sire42;dam44;2015;6
cow9;sire43;dam45;2013;4
cow28;sire2;dam46;2006;6
cow153;sire44;dam47;2013;1
cow63;sire45;dam48;2005;6
cow6;sire46;dam49;2005;6
cow114;sire47;dam50;2006;3
cow34;sire48;dam51;2005;6
cow165;sire49;dam52;2006;1
cow24;sire7;dam53;2006;3
cow116;sire50;dam54;2005;6
cow8;sire51;dam55;2013;1
cow178;sire52;dam56;2005;6
cow73;sire21;dam57;2003;5
cow74;sire53;dam58;2005;5
cow94;sire54;dam59;2004;5
cow124;sire55;dam60;2005;6
cow16;sire56;dam61;2011;3
cow168;sire57;dam62;2005;5
cow67;sire58;dam63;2006;3
cow164;sire59;dam64;2014;1
cow98;sire26;dam65;2009;2
cow99;sire60;dam66;2005;6
cow45;sire21;dam67;2005;6
cow101;sire61;dam68;2005;6
cow126;sire62;dam69;2012;1
cow149;sire63;dam70;2005;6
cow151;sire11;dam71;2005;6
cow64;sire64;dam72;2005;6
cow138;sire33;dam73;2006;5
cow14;sire61;dam74;2005;4
cow80;sire65;dam75;2005;6
cow169;sire66;dam76;2011;6
cow174;sire67;dam77;2006;2
cow2;sire68;dam78;2006;4
cow76;sire69;dam79;2005;1
cow105;sire70;dam80;2007;3
cow5;sire71;dam81;2005;6
cow82;sire72;dam82;2005;6
cow17;sire73;dam83;2012;3
cow37;sire74;dam84;2006;2
cow159;sire75;dam85;2005;4
cow128;sire76;dam86;2004;5
cow172;sire77;dam87;2006;6
cow95;sire78;dam88;2006;1
cow147;sire79;dam89;2008;6
cow20;sire80;dam90;2013;4
cow157;sire81;dam91;2006;2
cow41;sire82;dam92;2005;2
cow179;sire21;dam93;2006;1
cow160;sire83;dam94;2005;6
cow158;sire40;dam95;2006;2
cow88;sire11;dam96;2005;6
cow46;sire84;dam97;2005;5
cow107;sire85;dam98;2005;6
cow166;sire86;dam99;2003;5
cow137;sire40;dam100;2006;1
cow79;sire87;dam101;2004;6
cow12;sire88;dam102;2005;5
cow29;sire89;dam103;2011;1
cow32;sire90;dam104;2005;4
cow115;sire50;dam105;2005;6
cow132;sire91;dam106;2013;4
cow100;sire92;dam107;2006;4
cow22;sire93;dam108;2005;4
cow49;sire94;dam109;2006;1
cow90;sire40;dam110;2006;1
cow11;sire95;dam111;2005;5
cow119;sire96;dam112;2006;4
cow35;sire97;dam113;2005;4
cow1;sire98;dam114;2005;6
cow96;sire99;dam115;2006;6
cow125;sire100;dam116;2006;3
cow56;sire101;dam117;2004;6
cow113;sire102;dam118;2013;1
cow134;sire103;dam119;2011;6
cow140;sire73;dam120;2011;3
cow61;sire104;dam121;2005;6
cow93;sire105;dam122;2005;5
cow47;sire27;dam123;2005;5
cow121;sire33;dam124;2006;2
cow87;sire40;dam125;2005;4
cow77;sire106;dam126;2005;6
cow173;sire21;dam127;2005;6
cow58;sire107;dam128;2005;5
cow91;sire108;dam129;2004;6
cow155;sire33;dam130;2006;6
cow78;sire109;dam131;2005;6
cow42;sire110;dam132;2006;6
cow145;sire111;dam133;2005;4
cow52;sire112;dam134;2006;6
cow26;sire113;dam135;2012;3
cow136;sire11;dam136;2005;4
cow65;sire114;dam137;2005;5
cow48;sire115;dam138;2006;6
cow33;sire116;dam139;2005;6
cow10;sire117;dam140;2005;5
cow50;sire41;dam141;2005;4
cow31;sire118;dam142;2005;2
cow111;sire119;dam143;2007;3
cow167;sire120;dam144;2006;6
cow156;sire40;dam145;2006;2
cow59;sire121;dam146;2012;1
cow70;sire122;dam147;2013;4
cow92;sire123;dam148;2009;2
cow13;sire40;dam149;2005;2
cow84;sire124;dam150;2006;3
cow23;sire7;dam151;2006;3
cow38;sire125;dam152;2013;1
cow127;sire78;dam153;2006;6
cow154;sire27;dam154;2005;6
cow97;sire68;dam155;2005;6
cow62;sire26;dam156;2009;2
cow141;sire27;dam157;2005;6
cow108;sire23;dam158;2006;3
cow75;sire126;dam159;2014;1
cow146;sire21;dam160;2005;6
cow110;sire25;dam161;2005;6
cow135;sire127;dam162;2005;2
cow53;sire128;dam163;2013;1
cow51;sire129;dam164;2006;2
cow112;sire130;dam165;2007;3
cow30;sire77;dam166;2005;6
cow57;sire131;dam167;2005;5
cow25;sire132;dam168;2005;5
cow175;sire133;dam169;2006;2
cow18;sire134;dam170;2005;1
