cowId;success;calvingDate;inseminationDate
cow87;0;25.03.2012;21.04.2011
cow87;1;25.03.2012;16.06.2011
cow88;1;30.12.2011;24.03.2011
cow89;1;01.12.2010;01.03.2010
cow90;0;14.02.2013;07.03.2012
cow90;1;14.02.2013;03.05.2012
cow91;0;16.12.2011;09.12.2010
cow91;0;16.12.2011;20.01.2011
cow91;1;16.12.2011;03.03.2011
cow92;0;29.04.2016;28.06.2015
cow92;1;29.04.2016;19.07.2015
cow93;0;21.12.2011;20.11.2010
cow93;0;21.12.2011;08.12.2010
cow93;1;21.12.2011;07.03.2011
cow94;0;23.09.2011;25.11.2010
cow94;1;23.09.2011;16.12.2010
cow95;1;03.12.2012;02.03.2012
cow96;1;19.10.2012;14.01.2012
cow97;0;28.01.2013;25.03.2012
cow97;1;28.01.2013;13.04.2012
cow98;1;10.02.2016;01.05.2015
cow99;0;20.10.2013;13.09.2011
cow99;0;20.10.2013;14.07.2012
cow99;0;20.10.2013;19.08.2012
cow99;0;20.10.2013;21.09.2012
cow99;0;20.10.2013;05.10.2012
cow99;0;20.10.2013;22.10.2012
cow99;0;20.10.2013;09.11.2012
cow99;1;20.10.2013;02.01.2013
cow100;0;08.08.2013;18.06.2012
cow100;0;08.08.2013;21.08.2012
cow100;0;08.08.2013;02.10.2012
cow100;1;08.08.2013;23.10.2012
cow101;1;02.01.2012;26.03.2011
cow102;1;30.10.2012;21.01.2012
cow103;1;30.09.2012;03.01.2012
cow104;0;20.09.2012;11.08.2011
cow104;1;20.09.2012;12.12.2011
cow105;0;08.04.2015;07.11.2013
cow105;0;08.04.2015;28.11.2013
cow105;0;08.04.2015;21.12.2013
cow105;0;08.04.2015;03.02.2014
cow105;0;08.04.2015;23.02.2014
cow105;0;08.04.2015;05.04.2014
cow105;0;08.04.2015;16.04.2014
cow105;0;08.04.2015;27.05.2014
cow105;1;08.04.2015;19.06.2014
cow106;0;18.12.2015;15.01.2015
cow106;0;18.12.2015;06.02.2015
cow106;1;18.12.2015;28.02.2015
cow107;0;04.12.2011;27.01.2011
cow107;1;04.12.2011;21.02.2011
cow108;0;11.11.2014;17.11.2013
cow108;0;11.11.2014;26.11.2013
cow108;0;11.11.2014;11.12.2013
cow108;0;11.11.2014;31.12.2013
cow108;1;11.11.2014;21.01.2014
cow109;1;18.08.2014;25.10.2013
cow110;1;30.12.2011;20.03.2011
cow111;1;27.09.2014;20.12.2013
cow112;1;24.02.2015;13.05.2014
cow113;0;05.12.2019;15.10.2018
cow113;0;05.12.2019;01.12.2018
cow113;1;05.12.2019;25.02.2019
cow114;0;18.04.2016;17.09.2014
cow114;0;18.04.2016;09.10.2014
cow114;0;18.04.2016;03.11.2014
cow114;0;18.04.2016;24.11.2014
cow114;0;18.04.2016;11.01.2015
cow114;0;18.04.2016;19.02.2015
cow114;0;18.04.2016;14.03.2015
cow114;0;18.04.2016;06.04.2015
cow114;0;18.04.2016;27.04.2015
cow114;0;18.04.2016;11.06.2015
cow114;1;18.04.2016;06.07.2015
cow115;0;12.10.2012;11.12.2011
cow115;1;12.10.2012;03.01.2012
cow116;0;18.05.2012;25.12.2010
cow116;0;18.05.2012;22.02.2011
cow116;0;18.05.2012;11.03.2011
cow116;0;18.05.2012;30.04.2011
cow116;1;18.05.2012;06.08.2011
cow117;0;25.11.2012;11.01.2012
cow117;1;25.11.2012;21.02.2012
cow118;0;25.10.2011;18.12.2010
cow118;1;25.10.2011;14.01.2011
cow119;0;09.07.2013;04.09.2012
cow119;1;09.07.2013;25.09.2012
cow120;1;20.05.2012;01.08.2011
cow121;1;18.10.2012;13.01.2012
cow122;1;01.09.2014;12.11.2013
cow123;0;20.05.2015;04.12.2013
cow123;0;20.05.2015;21.04.2014
cow123;0;20.05.2015;12.05.2014
cow123;0;20.05.2015;26.06.2014
cow123;1;20.05.2015;03.08.2014
cow124;1;11.02.2012;29.04.2011
cow125;1;25.03.2014;02.06.2013
cow126;0;29.09.2019;28.10.2018
cow126;0;29.09.2019;24.11.2018
cow126;1;29.09.2019;15.12.2018
cow127;1;07.11.2012;23.01.2012
cow128;0;05.09.2012;21.01.2011
cow128;0;05.09.2012;11.05.2011
cow128;1;05.09.2012;02.12.2011
cow129;1;31.10.2019;21.01.2019
cow130;1;01.01.2020;20.03.2019
cow131;0;13.09.2012;09.10.2011
cow131;1;13.09.2012;12.12.2011
cow132;1;05.08.2021;13.10.2020
cow133;1;13.07.2018;21.09.2017
cow134;0;18.05.2018;19.07.2017
cow134;1;18.05.2018;08.08.2017
cow135;1;30.06.2012;21.09.2011
cow136;0;21.03.2012;06.01.2011
cow136;0;21.03.2012;17.02.2011
cow136;1;21.03.2012;16.06.2011
cow137;0;28.05.2015;17.07.2014
cow137;1;28.05.2015;13.08.2014
cow138;1;26.02.2012;23.05.2011
cow139;1;08.11.2017;21.01.2017
cow140;0;09.08.2018;26.08.2017
cow140;0;09.08.2018;15.09.2017
cow140;0;09.08.2018;22.10.2017
cow140;1;09.08.2018;10.11.2017
cow141;0;15.10.2011;10.09.2010
cow141;0;15.10.2011;27.12.2010
cow141;1;15.10.2011;15.01.2011
cow142;1;30.06.2012;11.09.2011
cow143;1;25.12.2012;09.03.2012
cow144;1;19.11.2011;04.02.2011
cow145;0;10.10.2012;08.09.2011
cow145;0;10.10.2012;06.10.2011
cow145;0;10.10.2012;10.10.2011
cow145;1;10.10.2012;12.01.2012
cow146;0;03.10.2012;05.11.2011
cow146;1;03.10.2012;25.12.2011
cow147;1;17.12.2014;06.03.2014
cow148;0;29.06.2020;20.02.2019
cow148;0;29.06.2020;19.06.2019
cow148;1;29.06.2020;11.09.2019
cow149;1;10.01.2012;02.04.2011
cow150;1;15.12.2016;25.02.2016
cow151;0;03.07.2014;18.04.2013
cow151;1;03.07.2014;23.09.2013
cow152;1;24.09.2019;14.12.2018
cow153;0;20.06.2020;16.02.2019
cow153;0;20.06.2020;07.04.2019
cow153;1;20.06.2020;09.09.2019
cow154;1;11.02.2012;12.05.2011
cow155;1;29.06.2012;18.09.2011
cow156;1;16.10.2012;05.01.2012
cow157;0;11.06.2013;30.12.2011
cow157;0;11.06.2013;20.03.2012
cow157;0;11.06.2013;12.04.2012
cow157;0;11.06.2013;05.06.2012
cow157;0;11.06.2013;26.06.2012
cow157;0;11.06.2013;18.07.2012
cow157;1;11.06.2013;27.08.2012
cow158;0;12.12.2012;16.09.2011
cow158;0;12.12.2012;22.11.2011
cow158;0;12.12.2012;12.12.2011
cow158;1;12.12.2012;25.02.2012
cow159;1;20.11.2012;04.02.2012
cow160;1;02.07.2012;17.09.2011
cow161;0;03.06.2014;12.02.2013
cow161;0;03.06.2014;12.03.2013
cow161;0;03.06.2014;02.04.2013
cow161;0;03.06.2014;24.04.2013
cow161;1;03.06.2014;11.08.2013
cow162;0;18.10.2015;13.12.2014
cow162;1;18.10.2015;04.01.2015
cow163;1;11.12.2010;01.03.2010
cow164;0;23.11.2020;30.01.2020
cow164;1;23.11.2020;21.02.2020
cow165;0;04.12.2012;10.01.2012
cow165;0;04.12.2012;01.02.2012
cow165;1;04.12.2012;22.02.2012
cow166;1;11.01.2011;01.04.2010
cow167;1;12.12.2013;23.02.2013
cow168;0;24.11.2012;08.01.2012
cow168;1;24.11.2012;21.02.2012
cow169;1;19.04.2020;06.07.2019
cow170;0;01.01.2013;25.01.2012
cow170;1;01.01.2013;20.03.2012
cow171;1;17.03.2013;31.05.2012
cow172;0;17.03.2013;27.01.2012
cow172;1;17.03.2013;07.06.2012
cow173;0;22.02.2012;10.04.2011
cow173;1;22.02.2012;22.05.2011
cow174;0;11.04.2014;19.04.2013
cow174;1;11.04.2014;08.07.2013
cow175;0;27.04.2013;15.02.2012
cow175;0;27.04.2013;10.03.2012
cow175;1;27.04.2013;12.07.2012
cow176;0;30.03.2020;23.12.2018
cow176;1;30.03.2020;27.06.2019
cow177;1;17.07.2011;07.10.2010
cow178;0;06.03.2012;11.04.2011
cow178;1;06.03.2012;28.05.2011
cow179;0;14.02.2013;06.05.2012
cow179;1;14.02.2013;24.05.2012




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































